### SECCION: emociones
timestamp_iso,hora_local,emocion_dominante,confianza,neutral,happy,sad,angry,fearful,disgusted,surprised,edad,genero,genero_prob,valencia,arousal,roll_deg,yaw_deg,pitch_deg,pos_x,pos_y,tamano,voz_pitch_hz,voz_energia,voz_arousal,rol_activo,satisfaccion,cuadrante,afecto_98,afecto_38,positividad,atencion,n_rostros,detection_rate,expression_entropy,flip_rate,faceapi_neutral,faceapi_happy,faceapi_sad,faceapi_angry,faceapi_fearful,faceapi_disgusted,faceapi_surprised,usa_fusion_i2,fusion_neutral,fusion_happy,fusion_sad,fusion_angry,fusion_fearful,fusion_disgusted,fusion_surprised,usa_mlp_i2,mlp_neutral,mlp_happy,mlp_sad,mlp_angry,mlp_fearful,mlp_disgusted,mlp_surprised,mlp_raw_neutral,mlp_raw_happy,mlp_raw_sad,mlp_raw_angry,mlp_raw_fearful,mlp_raw_disgusted,mlp_raw_surprised
"2026-07-21T19:05:56.309Z","21/7/2026, 1:05:56 p.m.","Neutral","0.6297","0.6297","0.0479","0.1145","0.0315","0.0161","0.1315","0.0289","20","Hombre","0.8917","-0.1406","0.0098","-15.6","5.0","1.1","0.4604","0.4883","0.2734","","","","Cliente","-0.1406","Activación negativa · tensión/enojo","Neutral","Neutral","0.4297","0.7507","1","1.0000","1.7735","0.00","0.8024","0.0082","0.0258","0.0709","0.0004","0.0873","0.0050","0","0.7367","0.0000","0.0192","0.0948","0.0097","0.0155","0.1241","1","0.6297","0.0479","0.1145","0.0315","0.0161","0.1315","0.0289","0.4320","0.0328","0.3926","0.0216","0.0111","0.0902","0.0198"
"2026-07-21T19:05:57.568Z","21/7/2026, 1:05:57 p.m.","Neutral","0.6127","0.6127","0.0462","0.1221","0.0278","0.0182","0.1469","0.0261","23","Hombre","0.8775","-0.1564","0.0094","-13.9","2.3","1.5","0.4629","0.4918","0.2736","","0.0256","0.2852","Cliente","-0.1559","Activación negativa · tensión/enojo","Indiferente","Neutral","0.4218","0.7277","1","1.0000","1.8011","0.00","0.8706","0.0026","0.0291","0.0855","0.0000","0.0101","0.0021","0","0.7541","0.0000","0.0733","0.1086","0.0000","0.0274","0.0366","1","0.6127","0.0462","0.1221","0.0278","0.0182","0.1469","0.0261","0.3871","0.0293","0.4507","0.0163","0.0132","0.0857","0.0177"
"2026-07-21T19:05:58.658Z","21/7/2026, 1:05:58 p.m.","Neutral","0.5946","0.5946","0.0428","0.1272","0.0329","0.0174","0.1589","0.0263","21","Hombre","0.8892","-0.1723","0.0141","-14.1","1.7","1.7","0.4638","0.4961","0.2730","107","0.0973","0.5339","Cliente","-0.1732","Activación negativa · tensión/enojo","Indiferente","Neutral","0.4138","0.7993","1","1.0000","1.8423","0.00","0.7257","0.0127","0.1074","0.0689","0.0004","0.0810","0.0039","0","0.6521","0.0000","0.0000","0.2256","0.0169","0.0406","0.0648","1","0.5946","0.0428","0.1272","0.0329","0.0174","0.1589","0.0263","0.3781","0.0234","0.4466","0.0284","0.0122","0.0918","0.0195"
"2026-07-21T19:05:59.786Z","21/7/2026, 1:05:59 p.m.","Neutral","0.5985","0.5985","0.0413","0.1300","0.0380","0.0169","0.1405","0.0349","23","Hombre","0.8638","-0.1647","0.0154","-13.2","1.8","2.4","0.4667","0.4931","0.2758","301","0.0654","0.7180","Cliente","-0.1900","Activación negativa · tensión/enojo","Indiferente","Neutral","0.4177","0.8317","1","1.0000","1.8611","0.00","0.7542","0.0023","0.0975","0.1238","0.0000","0.0098","0.0124","0","0.4256","0.0000","0.0000","0.3800","0.0518","0.0658","0.0769","1","0.5985","0.0413","0.1300","0.0380","0.0169","0.1405","0.0349","0.4035","0.0287","0.4123","0.0321","0.0097","0.0788","0.0350"
"2026-07-21T19:06:00.906Z","21/7/2026, 1:06:00 p.m.","Neutral","0.5936","0.5936","0.0380","0.1504","0.0360","0.0183","0.1292","0.0345","26","Hombre","0.8636","-0.1745","0.0023","-11.4","2.6","2.5","0.4651","0.4986","0.2753","","0.0813","0.4710","Cliente","-0.1997","Activación negativa · tensión/enojo","Indiferente","Neutral","0.4127","0.7427","1","1.0000","1.8643","0.00","0.5895","0.0076","0.2622","0.1142","0.0002","0.0162","0.0101","0","0.6010","0.0000","0.0117","0.2861","0.0026","0.0556","0.0429","1","0.5936","0.0380","0.1504","0.0360","0.0183","0.1292","0.0345","0.3479","0.0204","0.5052","0.0211","0.0117","0.0744","0.0193"
"2026-07-21T19:06:01.939Z","21/7/2026, 1:06:01 p.m.","Neutral","0.6028","0.6028","0.0364","0.1539","0.0380","0.0198","0.1115","0.0377","30","Hombre","0.9408","-0.1689","-0.0014","-12.3","2.0","2.4","0.4653","0.4999","0.2759","","0.0598","0.3993","Cliente","-0.2012","Desactivación negativa · tristeza/abatimiento","Indiferente","Neutral","0.4156","0.7995","1","1.0000","1.8520","0.00","0.7955","0.0058","0.0242","0.1279","0.0001","0.0342","0.0123","0","0.5605","0.0000","0.0355","0.3175","0.0000","0.0650","0.0215","1","0.6028","0.0364","0.1539","0.0380","0.0198","0.1115","0.0377","0.3643","0.0214","0.4823","0.0340","0.0103","0.0591","0.0287"
"2026-07-21T19:06:03.047Z","21/7/2026, 1:06:03 p.m.","Neutral","0.5898","0.5898","0.0341","0.1483","0.0456","0.0178","0.1206","0.0438","29","Hombre","0.9214","-0.1738","0.0117","-12.2","1.2","2.8","0.4672","0.4979","0.2752","92","0.0685","0.4311","Cliente","-0.2000","Activación negativa · tensión/enojo","Indiferente","Neutral","0.4131","0.7933","1","1.0000","1.8961","0.00","0.7773","0.0113","0.0882","0.0890","0.0001","0.0217","0.0123","0","0.4794","0.0000","0.0250","0.3937","0.0000","0.0791","0.0227","1","0.5898","0.0341","0.1483","0.0456","0.0178","0.1206","0.0438","0.3537","0.0216","0.4861","0.0255","0.0114","0.0760","0.0255"
"2026-07-21T19:06:04.120Z","21/7/2026, 1:06:04 p.m.","Neutral","0.5950","0.5950","0.0327","0.1533","0.0399","0.0182","0.1209","0.0401","24","Hombre","0.9019","-0.1765","0.0023","-12.1","1.3","2.9","0.4674","0.4973","0.2770","110","0.1131","0.6048","Cliente","-0.1993","Activación negativa · tensión/enojo","Indiferente","Neutral","0.4117","0.7417","1","1.0000","1.8669","0.00","0.7066","0.0038","0.0384","0.2085","0.0002","0.0261","0.0164","0","0.5715","0.0000","0.0000","0.2782","0.0297","0.0501","0.0704","1","0.5950","0.0327","0.1533","0.0399","0.0182","0.1209","0.0401","0.3737","0.0165","0.4951","0.0223","0.0123","0.0561","0.0239"
"2026-07-21T19:06:05.164Z","21/7/2026, 1:06:05 p.m.","Neutral","0.6081","0.6081","0.0330","0.1530","0.0394","0.0197","0.0959","0.0509","28","Hombre","0.9364","-0.1584","0.0022","-11.6","1.0","3.2","0.4702","0.4986","0.2762","","0.0795","0.4649","Cliente","-0.1942","Activación negativa · tensión/enojo","Indiferente","Neutral","0.4208","0.7746","1","1.0000","1.8516","0.00","0.7469","0.0048","0.0208","0.1896","0.0001","0.0225","0.0154","0","0.5599","0.0000","0.0136","0.3213","0.0044","0.0633","0.0376","1","0.6081","0.0330","0.1530","0.0394","0.0197","0.0959","0.0509","0.3707","0.0192","0.4965","0.0204","0.0137","0.0422","0.0374"
"2026-07-21T19:06:06.251Z","21/7/2026, 1:06:06 p.m.","Neutral","0.6020","0.6020","0.0335","0.1511","0.0344","0.0189","0.1188","0.0413","24","Hombre","0.8928","-0.1698","-0.0001","-9.9","-0.7","3.2","0.4543","0.3215","0.3139","75","0.0390","0.3299","Cliente","-0.1950","Desactivación negativa · tristeza/abatimiento","Indiferente","Neutral","0.4151","0.7564","1","1.0000","1.8473","0.00","0.3985","0.0091","0.0475","0.4549","0.0012","0.0615","0.0273","0","0.7580","0.0000","0.0540","0.1259","0.0000","0.0303","0.0318","1","0.6020","0.0335","0.1511","0.0344","0.0189","0.1188","0.0413","0.4078","0.0205","0.4418","0.0220","0.0111","0.0699","0.0268"
